time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD
2415,98.1196,2.5926465,SM_A,JIV-01-05zg2d,25,899.869
2445,93.938,2.5926465,SM_A,JIV-01-05zg2d,25,897.397
2475,91.6362,2.5926465,SM_A,JIV-01-05zg2d,25,927.59
2505,85.4664,2.5926465,SM_A,JIV-01-05zg2d,25,936.926
2535,91.2642,2.5926465,SM_A,JIV-01-05zg2d,25,882.512
2565,89.3145,2.5926465,SM_A,JIV-01-05zg2d,25,921.494
2595,85.2597,2.5926465,SM_A,JIV-01-05zg2d,25,890.142
2625,72.4524,2.5926465,SM_A,JIV-01-05zg2d,25,952.582
2655,86.5685,2.5926465,SM_A,JIV-01-05zg2d,25,922.875
2685,73.7401,2.5926465,SM_A,JIV-01-05zg2d,25,936.034
2715,86.7585,2.5926465,SM_A,JIV-01-05zg2d,25,896.439
2745,81.1441,2.5926465,SM_A,JIV-01-05zg2d,25,927.893
2775,80.1528,2.5926465,SM_A,JIV-01-05zg2d,25,927.318
2805,69.8065,2.5926465,SM_A,JIV-01-05zg2d,25,938.937
2835,68.9517,2.5926465,SM_A,JIV-01-05zg2d,25,943.596
2865,78.1401,2.5926465,SM_A,JIV-01-05zg2d,25,911.266
2895,71.714,2.5926465,SM_A,JIV-01-05zg2d,25,899.839
2925,71.9489,2.5926465,SM_A,JIV-01-05zg2d,25,958.496
2955,74.2639,2.5926465,SM_A,JIV-01-05zg2d,25,904.335
2985,82.4536,2.5926465,SM_A,JIV-01-05zg2d,25,903.529
3015,57.6112,2.5926465,SM_A,JIV-01-05zg2d,25,938.721
3045,78.4141,2.5926465,SM_A,JIV-01-05zg2d,25,880.266
3075,66.2405,2.5926465,SM_A,JIV-01-05zg2d,25,917.197
3105,59.1408,2.5926465,SM_A,JIV-01-05zg2d,25,921.441
3135,63.5469,2.5926465,SM_A,JIV-01-05zg2d,25,917.178
3165,55.6378,2.5926465,SM_A,JIV-01-05zg2d,25,959.27
3195,61.6363,2.5926465,SM_A,JIV-01-05zg2d,25,930.667
3225,59.1795,2.5926465,SM_A,JIV-01-05zg2d,25,935.15
3255,52.5506,2.5926465,SM_A,JIV-01-05zg2d,25,935.452
3285,60.1919,2.5926465,SM_A,JIV-01-05zg2d,25,899.482
3315,59.0277,2.5926465,SM_A,JIV-01-05zg2d,25,934.597
3345,65.5732,2.5926465,SM_A,JIV-01-05zg2d,25,894.606
3375,59.5218,2.5926465,SM_A,JIV-01-05zg2d,25,949.824
3405,57.5872,2.5926465,SM_A,JIV-01-05zg2d,25,938.526
3435,57.729,2.5926465,SM_A,JIV-01-05zg2d,25,921.983
3465,57.2147,2.5926465,SM_A,JIV-01-05zg2d,25,929.253
3495,50.8404,2.5926465,SM_A,JIV-01-05zg2d,25,906.063
3525,47.4032,2.5926465,SM_A,JIV-01-05zg2d,25,904.689
3555,43.3731,2.5926465,SM_A,JIV-01-05zg2d,25,950.387
3585,48.3484,2.5926465,SM_A,JIV-01-05zg2d,25,925.646
3615,49.624,2.5926465,SM_A,JIV-01-05zg2d,25,867.596
3645,50.4196,2.5926465,SM_A,JIV-01-05zg2d,25,916.195
3675,41.7209,2.5926465,SM_A,JIV-01-05zg2d,25,930.821
3705,43.9797,2.5926465,SM_A,JIV-01-05zg2d,25,898.075
