time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD
2495,251.475,3.811153,SM_A,AH-01-15zg2d,22.45,950.893
2555,249.228,3.811153,SM_A,AH-01-15zg2d,22.45,959.679
2615,245.092,3.811153,SM_A,AH-01-15zg2d,22.45,952.089
2675,243.508,3.811153,SM_A,AH-01-15zg2d,22.45,959.672
2735,238.486,3.811153,SM_A,AH-01-15zg2d,22.45,954.633
2795,236.582,3.811153,SM_A,AH-01-15zg2d,22.45,955.188
2855,232.2,3.811153,SM_A,AH-01-15zg2d,22.45,955.186
2915,231.827,3.811153,SM_A,AH-01-15zg2d,22.45,952.764
2975,226.626,3.811153,SM_A,AH-01-15zg2d,22.45,954.871
3035,226.734,3.811153,SM_A,AH-01-15zg2d,22.45,950.369
3095,222.166,3.811153,SM_A,AH-01-15zg2d,22.45,948.618
3155,219.801,3.811153,SM_A,AH-01-15zg2d,22.45,943.712
3215,215.449,3.811153,SM_A,AH-01-15zg2d,22.45,962.414
3275,214.932,3.811153,SM_A,AH-01-15zg2d,22.45,946.37
3335,212.661,3.811153,SM_A,AH-01-15zg2d,22.45,947.773
3395,208.166,3.811153,SM_A,AH-01-15zg2d,22.45,952.502
3455,205.936,3.811153,SM_A,AH-01-15zg2d,22.45,957.306
3515,204.419,3.811153,SM_A,AH-01-15zg2d,22.45,962.448
3575,202.379,3.811153,SM_A,AH-01-15zg2d,22.45,951.881
3635,199.734,3.811153,SM_A,AH-01-15zg2d,22.45,960.726
3695,197.612,3.811153,SM_A,AH-01-15zg2d,22.45,951.479
3755,193.418,3.811153,SM_A,AH-01-15zg2d,22.45,948.312
3815,192.669,3.811153,SM_A,AH-01-15zg2d,22.45,952.151
3875,190.707,3.811153,SM_A,AH-01-15zg2d,22.45,957.805
3935,186.945,3.811153,SM_A,AH-01-15zg2d,22.45,946.785
3995,185.691,3.811153,SM_A,AH-01-15zg2d,22.45,960.193
4055,184.254,3.811153,SM_A,AH-01-15zg2d,22.45,955.638
4115,181.135,3.811153,SM_A,AH-01-15zg2d,22.45,951.74
4175,181.187,3.811153,SM_A,AH-01-15zg2d,22.45,966.486
4235,177.391,3.811153,SM_A,AH-01-15zg2d,22.45,970.069
4295,176.487,3.811153,SM_A,AH-01-15zg2d,22.45,958.602
4355,173.058,3.811153,SM_A,AH-01-15zg2d,22.45,960.095
4415,174.052,3.811153,SM_A,AH-01-15zg2d,22.45,960.85
4475,170.621,3.811153,SM_A,AH-01-15zg2d,22.45,967.188
4535,168.679,3.811153,SM_A,AH-01-15zg2d,22.45,956.041
4595,166.377,3.811153,SM_A,AH-01-15zg2d,22.45,961.197
4655,164.357,3.811153,SM_A,AH-01-15zg2d,22.45,963.485
4715,163.097,3.811153,SM_A,AH-01-15zg2d,22.45,959.514
4775,160.855,3.811153,SM_A,AH-01-15zg2d,22.45,966.937
4835,157.617,3.811153,SM_A,AH-01-15zg2d,22.45,965.258
4895,155.682,3.811153,SM_A,AH-01-15zg2d,22.45,964.807
4955,154.647,3.811153,SM_A,AH-01-15zg2d,22.45,957.096
5015,154.311,3.811153,SM_A,AH-01-15zg2d,22.45,963.635
5075,152.306,3.811153,SM_A,AH-01-15zg2d,22.45,968.022
5135,150.089,3.811153,SM_A,AH-01-15zg2d,22.45,967.934
5195,147.324,3.811153,SM_A,AH-01-15zg2d,22.45,956.527
5255,147.554,3.811153,SM_A,AH-01-15zg2d,22.45,964.428
5315,145.525,3.811153,SM_A,AH-01-15zg2d,22.45,961.076
5375,144.753,3.811153,SM_A,AH-01-15zg2d,22.45,964.05
5435,140.665,3.811153,SM_A,AH-01-15zg2d,22.45,970.574
5495,138.831,3.811153,SM_A,AH-01-15zg2d,22.45,955.807
5555,137.45,3.811153,SM_A,AH-01-15zg2d,22.45,952.9
5615,139.037,3.811153,SM_A,AH-01-15zg2d,22.45,971.557
5675,137.04,3.811153,SM_A,AH-01-15zg2d,22.45,974.916
5735,135.839,3.811153,SM_A,AH-01-15zg2d,22.45,969.569
5795,132.432,3.811153,SM_A,AH-01-15zg2d,22.45,973.419
5855,130.164,3.811153,SM_A,AH-01-15zg2d,22.45,966.184
5915,130.644,3.811153,SM_A,AH-01-15zg2d,22.45,963.864
5975,129.021,3.811153,SM_A,AH-01-15zg2d,22.45,964.469
6035,127.564,3.811153,SM_A,AH-01-15zg2d,22.45,964.927
6095,124.493,3.811153,SM_A,AH-01-15zg2d,22.45,972.74
6155,125.22,3.811153,SM_A,AH-01-15zg2d,22.45,958.644
6215,123.193,3.811153,SM_A,AH-01-15zg2d,22.45,973.456
6275,121.566,3.811153,SM_A,AH-01-15zg2d,22.45,966.025
6335,119.693,3.811153,SM_A,AH-01-15zg2d,22.45,971.468
6395,118.024,3.811153,SM_A,AH-01-15zg2d,22.45,977.436
6455,117.028,3.811153,SM_A,AH-01-15zg2d,22.45,969.696
6515,115.791,3.811153,SM_A,AH-01-15zg2d,22.45,968.772
6575,114.66,3.811153,SM_A,AH-01-15zg2d,22.45,966.148
6635,113.182,3.811153,SM_A,AH-01-15zg2d,22.45,961.051
6695,113.277,3.811153,SM_A,AH-01-15zg2d,22.45,966.617
6755,110.501,3.811153,SM_A,AH-01-15zg2d,22.45,969.268
6815,110.923,3.811153,SM_A,AH-01-15zg2d,22.45,970.827
6875,109.266,3.811153,SM_A,AH-01-15zg2d,22.45,958.329
6935,106.444,3.811153,SM_A,AH-01-15zg2d,22.45,958.036
6995,108.267,3.811153,SM_A,AH-01-15zg2d,22.45,956.815
7055,107.068,3.811153,SM_A,AH-01-15zg2d,22.45,964.655
7115,104.547,3.811153,SM_A,AH-01-15zg2d,22.45,968.964
7175,103.075,3.811153,SM_A,AH-01-15zg2d,22.45,976.394
7235,102.996,3.811153,SM_A,AH-01-15zg2d,22.45,960.642
7295,101.275,3.811153,SM_A,AH-01-15zg2d,22.45,963.664
7355,99.2243,3.811153,SM_A,AH-01-15zg2d,22.45,963.498
